Name,EN,Path,Scribe,選單
上傳商店 Logo,Website Appearance > Theme Setting > Theme Setting > Navigation > Website Logo,網站外觀→套版主題管理→網站設定→導覽列→網站 Logo,https://scribehow.com/viewer/Customize_Footer_Contact_Information_Display__O2xyYVgpSFm7ZFEIIeHprw,
填寫網站名,Website Management > General > Name of Website > Save all settings,管理中心→一般設定→輸入網站名→儲存所有設定,,
上架商品,Products > All Products > Create New Product,商品→所有商品→新增商品,,
設定聯絡資訊,Website Appearance > Theme Setting > Theme Setting > Footer > Contact Info,網站外觀→套版主題管理→網站設定→頁腳→聯絡資訊,https://scribehow.com/viewer/Customize_Footer_Contact_Information_Display__O2xyYVgpSFm7ZFEIIeHprw,
設定關於我們,Website Appearance > Customized Pages Management,網站外觀→自訂頁面管理,https://scribehow.com/viewer/Create_an_About_Us_Page_for_Your_Website__oIELmxZhTd-1Qq5NDp81Sw,
申請 CYBERBIZ PAYMENTS,Payment and Logistics > Payment Settings,金物流 > 金流設定,,
新增商品,Products > All Products > Create New Product,商品 > 所有商品 > 新增商品,,
設定 3D 驗證門檻,"Payment and Logistics > Payment Settings ","金物流 > 金流設定 > ",,
新增商家通知信箱,Pus Notifications > Email Notification Template > Merchant Notification Setting > Add Re,訊息推播 > Email 通知樣板 > 商家通知設定 > 新增收件者,,
匯出商品,Products > All Products >,商品 > 所有商品 > Excel 匯出商品,,
下載進階大量建立商品範本,Products > Import Products from Excel > Advanced Product Mass Import Example.xlsx,"商品 > Excel 大量匯入商品 > 進階大量建立商品範本.xlsx ",,
查看金流手續費,Website Management > Reconciliation Center >　,管理中心 > 對帳中心 > 金流手續費,,
設定星益欣發票,Website Managemnt > Invoices,管理中心 > z,,
對帳中心,Website Management > Reconciliation Center,管理中心 > 對帳中心,,
結帳頁發票設定,"Website Management > Invoices > Checkout page ""nvoice settin,管理中心 > 發票設定 > 結帳頁發票設定,,",,,
專業版,Boss,,,
進階版,Advance,,,
高手版,Master,,,
專業 PLUS 版,Boss PLUS,,,
進階 PLUS 版,Advance PLUS,,,
高手 PLUS 版,Master PLUS,,,
星益欣,WiXtar,,,
門市助理,Store Pal,,,
全通路管理助手,CHANNEL BRIDGE,,,
訊息通,CHAT BOX,,,
商品加價購,PWP-By Product,,,
