Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note
蝦皮商品搬站_Step1.安裝啟用,https://www.cyberbiz.io/support/?p=3532,3532,商品>商品上架/管理,,"August 5, 2019 9:12 AM (GMT+8)",post,Step1.安裝啟用 (https://app.notion.com/p/Step1-31724ee0f33c80e6b490e4e9f8d69de4?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
蝦皮商品搬站_Step5.官網商品與蝦皮商品資訊同步,https://www.cyberbiz.io/support/?p=5362,5362,網站設定>手機驗證,,"December 17, 2019 8:55 AM (GMT+8)",post,Step5.官網與蝦皮商品資訊同步 (https://app.notion.com/p/Step5-31124ee0f33c807888bcf7f10f25074f?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
自訂擴充服務 : 串接API/Webhook,https://www.cyberbiz.io/support/?p=20739,20739,"常見問題,API應用",,"March 25, 2024 10:33 AM (GMT+8)",post,API 與 Webhook 串接指南 (https://app.notion.com/p/API-Webhook-37c24ee0f33c8093924cd2c3f2bc8f55?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
AUTOMATION 功能介紹,https://www.cyberbiz.io/support/?p=38638,38638,"TW台灣站,第三方整合","AUTOMATION,RFM,自動化","August 10, 2023 9:50 AM (GMT+8)",post,使用 AUTOMATION 建立自動化推播流程 (https://app.notion.com/p/AUTOMATION-31e24ee0f33c801fa913fd79c84c3946?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
AUTOMATION 發送教學(簡訊/EDM/LINE OA),https://www.cyberbiz.io/support/?p=38837,38837,常見問題,,"October 11, 2023 4:22 AM (GMT+8)",post,使用 AUTOMATION 建立自動化推播流程 (https://app.notion.com/p/AUTOMATION-31e24ee0f33c801fa913fd79c84c3946?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
API&amp;WEBHOOK 串接文件,https://www.cyberbiz.io/support/?p=40162,40162,常見問題,,"December 11, 2023 6:54 AM (GMT+8)",post,API 與 Webhook 串接指南 (https://app.notion.com/p/API-Webhook-37c24ee0f33c8093924cd2c3f2bc8f55?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
門市助理 - 會員註記,https://www.cyberbiz.io/support/?p=41022,41022,"門市助理,TW台灣站",門市助理,"May 6, 2024 1:17 AM (GMT+8)",post,會員數據智庫 (https://app.notion.com/p/35624ee0f33c80e9b13bf62d74c6b3ed?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
門市助理 - 會員查詢與註冊,https://www.cyberbiz.io/support/?p=41747,41747,"門市助理,TW台灣站",門市助理,"May 6, 2024 1:17 AM (GMT+8)",post,搜尋與建立會員 (https://app.notion.com/p/35624ee0f33c8056ad30fa837344b2aa?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
門市助理 - 會員基本資料,https://www.cyberbiz.io/support/?p=41786,41786,"門市助理,TW台灣站",門市助理,"May 6, 2024 1:17 AM (GMT+8)",post,會員身份識別 (https://app.notion.com/p/35724ee0f33c806fa1d0d838a18e39b8?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
門市助理 - 會員等級,https://www.cyberbiz.io/support/?p=41833,41833,"門市助理,TW台灣站",門市助理,"May 6, 2024 1:17 AM (GMT+8)",post,會員數據智庫 (https://app.notion.com/p/35624ee0f33c80e9b13bf62d74c6b3ed?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
