Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note,產品
分析圖表-圖表總覽,https://www.cyberbiz.io/support/?p=8275,8275,"TW台灣站,分析報表",圖表分析,"August 4, 2022 1:30 AM (GMT+8)",post,圖表總覽 (https://app.notion.com/p/38024ee0f33c80db9661fdc70d6c1368?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表-營收分析,https://www.cyberbiz.io/support/?p=8368,8368,分析報表,,"July 27, 2020 7:42 AM (GMT+8)",post,營收分析 (https://app.notion.com/p/38024ee0f33c80108c70eb8a83e3a15e?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表-訂單分析(訂單總體分析),https://www.cyberbiz.io/support/?p=8473,8473,分析報表,,"August 7, 2020 7:44 AM (GMT+8)",post,訂單分析 (https://app.notion.com/p/38024ee0f33c8032b0bbe04c06a7a97d?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表-訂單分析(訂單金物流分析),https://www.cyberbiz.io/support/?p=8714,8714,分析報表,,"August 14, 2020 7:04 AM (GMT+8)",post,訂單分析 (https://app.notion.com/p/38024ee0f33c8032b0bbe04c06a7a97d?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表-訂單分析(訂單報表),https://www.cyberbiz.io/support/?p=9602,9602,分析報表,,"September 29, 2020 2:42 AM (GMT+8)",post,訂單分析 (https://app.notion.com/p/38024ee0f33c8032b0bbe04c06a7a97d?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表-商品分析,https://www.cyberbiz.io/support/?p=9791,9791,分析報表,,"October 6, 2020 6:31 AM (GMT+8)",post,商品分析 (https://app.notion.com/p/38024ee0f33c80abb89ec6664dae2007?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表-行銷活動分析(優惠券分析),https://www.cyberbiz.io/support/?p=9871,9871,分析報表,,"October 14, 2020 6:28 AM (GMT+8)",post,行銷活動分析 (https://app.notion.com/p/38124ee0f33c803b9c46e9599850cb01?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表-會員分析,https://www.cyberbiz.io/support/?p=11528,11528,分析報表,,"March 5, 2021 9:32 AM (GMT+8)",post,會員分析 (https://app.notion.com/p/38124ee0f33c8096a298ff7c0b6f8389?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表-會員分析(會員報表),https://www.cyberbiz.io/support/?p=11624,11624,分析報表,,"March 9, 2021 4:03 AM (GMT+8)",post,會員總覽 (https://app.notion.com/p/38124ee0f33c803da31ffbfd1632dec3?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表-圖表總覽(基準化分析),https://www.cyberbiz.io/support/?p=32197,32197,"TW台灣站,分析報表","圖表分析,基準化分析","August 4, 2022 6:28 AM (GMT+8)",post,基準化分析 (https://app.notion.com/p/38024ee0f33c809e90dad0592e7157b8?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表 - OMO總覽,https://www.cyberbiz.io/support/?p=33261,33261,"TW台灣站,分析報表","OMO,分析報表","September 5, 2022 6:30 AM (GMT+8)",post,認識 OMO 分析報表 (https://app.notion.com/p/OMO-38824ee0f33c800c98f3cf1d560c37a8?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,"EC,POS"
自動化廣告系統,https://www.cyberbiz.io/support/?p=34930,34930,"第三方整合>Google相關設定,TW台灣站","GMC,GOOGLE,Google ADS,Google Merchant Center,廣告推播","December 14, 2022 8:07 AM (GMT+8)",post,自動化廣告系統(Google 購物廣告) (https://app.notion.com/p/Google-26a24ee0f33c80a7a950f0e0254c4cb7?pvs=21),"https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4, https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表 : 行銷活動分析(折扣活動分析),https://www.cyberbiz.io/support/?p=40350,40350,"TW台灣站,分析報表",分析報表,"January 11, 2024 1:15 AM (GMT+8)",post,行銷活動分析 (https://app.notion.com/p/38124ee0f33c803b9c46e9599850cb01?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
分析報表 : 會員分析（消費顧客分析）,https://www.cyberbiz.io/support/?p=40936,40936,"TW台灣站,分析報表","分析報表,會員","March 5, 2024 1:02 AM (GMT+8)",post,消費顧客分析 (https://app.notion.com/p/38224ee0f33c80e38557c712a85709f3?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
