Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note,產品
加價購設定(訂單/商品加價購),https://www.cyberbiz.io/support/?p=953,953,"商品>商品群組,常見問題,行銷活動>加價購/滿額贈",,"July 26, 2021 10:15 PM (GMT+8)",post,"設定商品加價購 (https://app.notion.com/p/24f24ee0f33c8076838ac298abc73112?pvs=21), 設定訂單加價購 (https://app.notion.com/p/2e624ee0f33c80b884a3e8339da3d1f1?pvs=21)","https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef","branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Jase,Jase",1,"December 31, 2025 12:22 PM",,"EC,EC"
結帳優惠計算順序,https://www.cyberbiz.io/support/?p=1141,1141,"常見問題,行銷活動>商品優惠折扣",,"March 15, 2019 4:07 AM (GMT+8)",post,結帳優惠計算順序 (https://app.notion.com/p/36d24ee0f33c80a7a1e9feb094c74414?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,EC
設定商品任選折扣活動：任選折數,https://www.cyberbiz.io/support/?p=1304,1304,"常見問題,行銷活動>商品優惠折扣",,"March 18, 2019 7:25 AM (GMT+8)",post,任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
設定商品任選折扣活動：任選固定金額,https://www.cyberbiz.io/support/?p=1335,1335,"常見問題,行銷活動>商品優惠折扣",,"March 18, 2019 7:57 AM (GMT+8)",post,任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
設定商品任選折扣活動：任選折固定金額,https://www.cyberbiz.io/support/?p=1357,1357,"常見問題,行銷活動>商品優惠折扣",,"March 18, 2019 8:14 AM (GMT+8)",post,任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
設定商品任選折扣活動：任選每件折固定金額,https://www.cyberbiz.io/support/?p=1380,1380,"常見問題,行銷活動>商品優惠折扣",,"March 18, 2019 8:32 AM (GMT+8)",post,任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
行銷活動 : 生日禮(紅利點數/優惠券),https://www.cyberbiz.io/support/?p=1461,1461,"行銷活動>生日禮,常見問題",,"May 21, 2024 8:33 AM (GMT+8)",post,設定生日禮 (https://app.notion.com/p/25924ee0f33c80028707da6e306e3eb8?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
部落格管理,https://www.cyberbiz.io/support/?p=1510,1510,"行銷活動>行銷工具,常見問題",,"May 10, 2022 3:10 AM (GMT+8)",post,部落格管理與文章發佈指南 (https://app.notion.com/p/32824ee0f33c8087aa0df04d00082e58?pvs=21),"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,
全館折扣 : 批次 建立/發送 優惠券(碼),https://www.cyberbiz.io/support/?p=1533,1533,"TW台灣站,行銷活動>優惠券(碼)",,"July 20, 2023 2:53 AM (GMT+8)",post,"設定優惠碼 (https://app.notion.com/p/25a24ee0f33c8094bcbcfffd0eefb76a?pvs=21), 設定優惠券 (https://app.notion.com/p/25a24ee0f33c8064b885debe778cada3?pvs=21)","https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e","branch,branch","https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",,"EC,EC"
定期定額 : 活動設定,https://www.cyberbiz.io/support/?p=1618,1618,行銷活動>定期定額,"定期定額,訂閱","March 30, 2023 1:16 AM (GMT+8)",post,定期定額活動頁 (https://app.notion.com/p/2d824ee0f33c80928c05fbc6b852231a?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
