Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note,產品
會員忘記密碼,https://www.cyberbiz.io/support/?p=2289,2289,"TW台灣站,網站設定>手機驗證,常見問題",會員,"May 29, 2024 4:23 AM (GMT+8)",post,管理會員檔案 (https://app.notion.com/p/25524ee0f33c80428c0fee26b081e8db?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
介紹會員明細頁,https://www.cyberbiz.io/support/?p=2549,2549,"TW台灣站,會員>會員管理","會員,會員紅利","April 25, 2024 6:45 AM (GMT+8)",post,管理會員檔案 (https://app.notion.com/p/25524ee0f33c80428c0fee26b081e8db?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
介紹所有會員頁面,https://www.cyberbiz.io/support/?p=2635,2635,會員>會員管理,會員,"March 15, 2024 9:23 AM (GMT+8)",post,管理會員檔案 (https://app.notion.com/p/25524ee0f33c80428c0fee26b081e8db?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
管理會員客服問答,https://www.cyberbiz.io/support/?p=2754,2754,"會員>會員管理,常見問題",,"April 2, 2019 4:01 AM (GMT+8)",post,會員客服系統 (https://app.notion.com/p/25524ee0f33c80acae00fb0bb143c5ae?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
註冊跳轉頁面,https://www.cyberbiz.io/support/?p=5272,5272,網站設定>前台介面,,"December 5, 2019 9:21 AM (GMT+8)",post,顧客註冊流程與欄位 (https://app.notion.com/p/25524ee0f33c80baa1e2da45de652eaa?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
建立新版VIP會員專屬價格,https://www.cyberbiz.io/support/?p=10289,10289,"商品>會員專屬價格,行銷活動>商品優惠折扣",,"November 18, 2021 2:00 AM (GMT+8)",post,設定 VIP 會員專屬價格 (https://app.notion.com/p/VIP-24e24ee0f33c8063be5aeb5109135b72?pvs=21),"https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94, https://app.notion.com/25524ee0f33c8090bb94dda10f174efc",branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
為特定網域信箱套用指定會員標籤,https://www.cyberbiz.io/support/?p=11515,11515,"TW台灣站,跨境電商>日本站,會員>會員管理,跨境電商>北美站,常見問題","員購,會員,標籤","February 23, 2023 4:04 AM (GMT+8)",post,特定網域信箱套用會員標籤 (https://app.notion.com/p/25524ee0f33c80d1b384f445f63aff69?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,Ann Chen,1,"December 31, 2025 12:22 PM",,EC
新版VIP系統規則,https://www.cyberbiz.io/support/?p=11860,11860,"會員>VIP設定,常見問題",,"April 7, 2021 4:14 AM (GMT+8)",post,VIP 功能運作指南 (https://app.notion.com/p/VIP-25524ee0f33c80dfae70cdbaee42ffb2?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
建立新版VIP制度,https://www.cyberbiz.io/support/?p=12291,12291,"會員>VIP設定,常見問題",,"May 5, 2021 5:58 AM (GMT+8)",post,建立全館VIP制度 (https://app.notion.com/p/VIP-25524ee0f33c8088bca0fa2de6300ee9?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
建立新版VIP優惠制度,https://www.cyberbiz.io/support/?p=12426,12426,"會員>VIP設定,常見問題",,"May 7, 2021 2:56 AM (GMT+8)",post,設定新版VIP專屬優惠 (https://app.notion.com/p/VIP-25524ee0f33c80f09607eb47aacc29b2?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
