Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note,產品
訂單-搜尋&篩選功能,https://www.cyberbiz.io/support/?p=622,622,"訂單>訂單管理,常見問題",,"March 12, 2019 3:36 AM (GMT+8)",post,"訂單管理介面說明 (https://app.notion.com/p/30224ee0f33c8087a124e1d04b6792b5?pvs=21), 搜尋與篩選訂單 (https://app.notion.com/p/35924ee0f33c8003ac7bc848e745d066?pvs=21)","https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef","branch,trunk","https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Jase,Jase",1,"December 31, 2025 12:22 PM",,"EC,EC"
訂單 : 訂單頁面,https://www.cyberbiz.io/support/?p=624,624,"訂單>訂單管理,常見問題",,"March 12, 2019 3:37 AM (GMT+8)",post,訂單管理介面說明 (https://app.notion.com/p/30224ee0f33c8087a124e1d04b6792b5?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Jase,1,"December 31, 2025 12:22 PM",,EC
訂單出貨事項及常見問題,https://www.cyberbiz.io/support/?p=952,952,"訂單>出貨,常見問題",,"March 14, 2019 2:43 AM (GMT+8)",post,訂單出貨流程 (https://app.notion.com/p/30024ee0f33c80cb8ce4f924f57e1a11?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
加價購設定(訂單/商品加價購),https://www.cyberbiz.io/support/?p=953,953,"商品>商品群組,常見問題,行銷活動>加價購/滿額贈",,"July 26, 2021 10:15 PM (GMT+8)",post,"設定商品加價購 (https://app.notion.com/p/24f24ee0f33c8076838ac298abc73112?pvs=21), 設定訂單加價購 (https://app.notion.com/p/2e624ee0f33c80b884a3e8339da3d1f1?pvs=21)","https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef","branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Jase,Jase",1,"December 31, 2025 12:22 PM",,"EC,EC"
黑貓宅配 : 操作出貨,https://www.cyberbiz.io/support/?p=973,973,"TW台灣站,訂單>出貨,常見問題",,"August 25, 2022 7:00 AM (GMT+8)",post,使用黑貓宅配出貨 (https://app.notion.com/p/35e24ee0f33c804d91b3e509245f9047?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
宅配通 : 操作出貨,https://www.cyberbiz.io/support/?p=975,975,"TW台灣站,訂單>出貨","出貨,宅配通","September 19, 2022 2:45 AM (GMT+8)",post,使用宅配通出貨 (https://app.notion.com/p/36524ee0f33c80bfa111c49e29e499cc?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
超商大宗寄倉(B2C) : 操作出貨,https://www.cyberbiz.io/support/?p=977,977,"TW台灣站,訂單>出貨","7-11,B2C,全家,出貨,大宗寄倉,萊爾富,超商,進倉規範","September 29, 2022 6:00 AM (GMT+8)",post,使用超商大宗寄倉（B2C）出貨 (https://app.notion.com/p/B2C-36b24ee0f33c80a8b6d9ebf6ee05a9ee?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
超商店到店（C2C）：操作出貨,https://www.cyberbiz.io/support/?p=980,980,"訂單>出貨,常見問題",,"March 14, 2019 2:47 AM (GMT+8)",post,操作超商店到店 C2C 出貨 (https://app.notion.com/p/C2C-2f724ee0f33c8080af5cfeccaabf57d7?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
自訂物流 : 操作出貨,https://www.cyberbiz.io/support/?p=982,982,"TW台灣站,訂單>出貨,常見問題","出貨,自訂物流","November 7, 2022 5:40 AM (GMT+8)",post,如何使用自訂物流出貨 (https://app.notion.com/p/35d24ee0f33c80e98dffec817b860944?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
黑貓查詢紀錄,https://www.cyberbiz.io/support/?p=986,986,"訂單>出貨,常見問題",,"March 14, 2019 2:49 AM (GMT+8)",post,"查詢宅配託運單紀錄 (https://app.notion.com/p/31124ee0f33c803f81cbd5c4e1487dd2?pvs=21), 設定與加印黑貓託運單 (https://app.notion.com/p/36124ee0f33c80d6bb9ad05fefb1f6c5?pvs=21)","https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef","branch,trunk","https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Ann Chen,Jase",2,"December 31, 2025 12:22 PM",,"EC,EC"
