Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note
黑貓查詢紀錄,https://www.cyberbiz.io/support/?p=986,986,"訂單>出貨,常見問題",,"March 14, 2019 2:49 AM (GMT+8)",post,"查詢宅配託運單紀錄 (https://app.notion.com/p/31124ee0f33c803f81cbd5c4e1487dd2?pvs=21), 設定與加印黑貓託運單 (https://app.notion.com/p/36124ee0f33c80d6bb9ad05fefb1f6c5?pvs=21)","https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef","branch,trunk","https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Ann Chen,Jase",2,"December 31, 2025 12:22 PM",
宅配通查詢紀錄,https://www.cyberbiz.io/support/?p=988,988,"訂單>出貨,常見問題",,"March 14, 2019 2:49 AM (GMT+8)",post,查詢宅配託運單紀錄 (https://app.notion.com/p/31124ee0f33c803f81cbd5c4e1487dd2?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
結帳頁與物流設定,https://www.cyberbiz.io/support/?p=1895,1895,"常見問題,網站設定>金物流設定",,"May 4, 2022 8:00 AM (GMT+8)",post,結帳頁與物流設定總覽 (https://app.notion.com/p/30324ee0f33c8044b6c3fcf00e4d1e8e?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
超商大宗寄倉(B2C) 設定&申請,https://www.cyberbiz.io/support/?p=1921,1921,"常見問題,網站設定>金物流設定",,"January 11, 2022 2:37 AM (GMT+8)",post,設定超商大宗寄倉 B2C (https://app.notion.com/p/B2C-2fb24ee0f33c8029a152cb06ab431ffe?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
退貨處理-超過退貨申請期限的退貨流程,https://www.cyberbiz.io/support/?p=2034,2034,"訂單>退貨退款,常見問題",,"March 21, 2019 6:39 AM (GMT+8)",post,處理超過退貨期限的訂單 (https://app.notion.com/p/36c24ee0f33c800aab61cd91fa9f4186?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
商品上架管理：配送物流/溫層綁定（一般宅配）,https://www.cyberbiz.io/support/?p=2107,2107,"商品>商品上架/管理,網站設定>金物流設定",,"March 21, 2019 8:49 AM (GMT+8)",post,設定商品配送條件（物流、溫層與出貨通路） (https://app.notion.com/p/24f24ee0f33c80789651c9895795decb?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
商品上架管理：配送物流/溫層綁定（宅配貨到付款）,https://www.cyberbiz.io/support/?p=2131,2131,"商品>商品上架/管理,網站設定>金物流設定",,"March 21, 2019 9:40 AM (GMT+8)",post,設定商品配送條件（物流、溫層與出貨通路） (https://app.notion.com/p/24f24ee0f33c80789651c9895795decb?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
結帳頁自動拆分多購物車(商品通路/溫層/物流/預購),https://www.cyberbiz.io/support/?p=2142,2142,"商品>商品上架/管理,網站設定>金物流設定",,"April 29, 2024 7:47 AM (GMT+8)",post,設定結帳拆分多購物車 (https://app.notion.com/p/24f24ee0f33c8049af57c897f078811b?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
"<span style=""text-transform: none;"">金流說明 : Google Pay™</span>",https://www.cyberbiz.io/support/?p=2620,2620,"常見問題,網站設定>金物流設定",,"March 29, 2019 4:14 AM (GMT+8)",post,串接Google Pay (https://app.notion.com/p/Google-Pay-31f24ee0f33c803f855cda22ef396241?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
順豐查詢紀錄,https://www.cyberbiz.io/support/?p=3744,3744,訂單>出貨,,"September 5, 2019 2:56 AM (GMT+8)",post,查詢宅配託運單紀錄 (https://app.notion.com/p/31124ee0f33c803f81cbd5c4e1487dd2?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
信用卡 3D驗證門檻設定,https://www.cyberbiz.io/support/?p=5450,5450,"TW台灣站,網站設定>金物流設定","3D驗證,信用卡,金物流","February 20, 2023 3:34 AM (GMT+8)",post,信用卡 3D驗證門檻設定 (https://app.notion.com/p/3D-2a924ee0f33c807ab386f561a3676182?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
AFTEE先享後付 金流說明,https://www.cyberbiz.io/support/?p=5525,5525,網站設定>金物流設定,,"January 9, 2020 6:08 AM (GMT+8)",post,設定 AFTEE (https://app.notion.com/p/AFTEE-2f424ee0f33c804b869dff5c4c65efee?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
逆物流(收取退貨),https://www.cyberbiz.io/support/?p=5813,5813,常見問題,,"March 11, 2022 6:11 AM (GMT+8)",post,"宅配逆物流 (https://app.notion.com/p/31824ee0f33c80f49bbccbb23550869a?pvs=21), 逆物流(收取退貨) (https://app.notion.com/p/2d624ee0f33c807aabc0ee9e2a2ecacf?pvs=21)","https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e","branch,branch",,"Ann Chen,Jase",2,"December 31, 2025 12:22 PM",
超商店到店寄件(C2C) 串接設定,https://www.cyberbiz.io/support/?p=5958,5958,網站設定>金物流設定,,"February 16, 2022 7:01 AM (GMT+8)",post,設定超商店到店物流串接 (https://app.notion.com/p/2f624ee0f33c805d81d2e91e2e46726c?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
宅配物流：串接物流(黑貓/宅配通貨到付款),https://www.cyberbiz.io/support/?p=5967,5967,"TW台灣站,網站設定>金物流設定","宅配通,物流,貨到付款,貨到付款設定,黑貓","February 17, 2023 1:21 AM (GMT+8)",post,串接宅配貨到付款物流 (https://app.notion.com/p/2d824ee0f33c80c98278f81f3bfbfa3b?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/2d124ee0f33c80b19bdee6efe83fdc4a",branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
宅配貨到不付款設定(自訂物流),https://www.cyberbiz.io/support/?p=5983,5983,常見問題,,"February 15, 2020 8:55 AM (GMT+8)",post,串接宅配貨到不付款/自訂物流 (https://app.notion.com/p/31724ee0f33c80a1be2ae28aaf8e14a0?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
順豐海外物流開通設,https://www.cyberbiz.io/support/?p=8060,8060,訂單>出貨,,"July 8, 2020 6:07 AM (GMT+8)",post,順豐海外物流 (https://app.notion.com/p/2d824ee0f33c801da570d401ac006a8f?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
宅配物流：自訂物流,https://www.cyberbiz.io/support/?p=10652,10652,網站設定>金物流設定,,"December 25, 2020 8:36 AM (GMT+8)",post,串接宅配貨到不付款/自訂物流 (https://app.notion.com/p/31724ee0f33c80a1be2ae28aaf8e14a0?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
結帳頁與物流設定 : 最低消費金額設定,https://www.cyberbiz.io/support/?p=11447,11447,"TW台灣站,網站設定>金物流設定","物流設定,行銷,訂單","March 5, 2024 6:24 AM (GMT+8)",post,結帳頁與物流設定總覽 (https://app.notion.com/p/30324ee0f33c8044b6c3fcf00e4d1e8e?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
