Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note,產品
LINE OA 顯示會員條碼功能,https://www.cyberbiz.io/support/?p=748,748,第三方整合>LINE相關設定,,"March 12, 2019 11:28 AM (GMT+8)",post,設定與使用 LINE 顯示會員條碼（串接 POS 結帳） (https://app.notion.com/p/LINE-POS-31024ee0f33c8055a3b4c0f47bc35bf5?pvs=21),https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,branch,,Jase,1,"December 31, 2025 12:22 PM",,POS
分潤設定：註冊人分潤,https://www.cyberbiz.io/support/?p=1720,1720,行銷活動>分潤設定,,"March 20, 2019 3:54 AM (GMT+8)",post,註冊人分潤 (https://app.notion.com/p/25b24ee0f33c8000a068cb1501b1ddf5?pvs=21),https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,branch,"https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,"EC,POS"
分潤 : 推薦人分潤(員工分潤),https://www.cyberbiz.io/support/?p=1833,1833,"行銷活動>分潤設定,常見問題",,"March 20, 2019 8:40 AM (GMT+8)",post,"推薦人分潤 (https://app.notion.com/p/25b24ee0f33c80b4823bc687cb3686a7?pvs=21), 推薦碼連結的應用 (https://app.notion.com/p/2fd24ee0f33c80afa39bf4ff179c51be?pvs=21), 查詢分潤夥伴與代碼 (https://app.notion.com/p/2fc24ee0f33c8048899df04035903054?pvs=21), 匯出分潤報表 (https://app.notion.com/p/2fc24ee0f33c805fb300de10bcd543a9?pvs=21)","https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f","branch,branch,branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Ann Chen,Ann Chen,Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",,"EC,POS,EC,POS,EC,POS,EC,POS"
分潤 : 推薦人分潤(顧客分潤),https://www.cyberbiz.io/support/?p=1864,1864,"行銷活動>分潤設定,常見問題",,"March 20, 2019 9:03 AM (GMT+8)",post,"推薦人分潤 (https://app.notion.com/p/25b24ee0f33c80b4823bc687cb3686a7?pvs=21), 查詢分潤夥伴與代碼 (https://app.notion.com/p/2fc24ee0f33c8048899df04035903054?pvs=21), 匯出分潤報表 (https://app.notion.com/p/2fc24ee0f33c805fb300de10bcd543a9?pvs=21)","https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f","branch,branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Ann Chen,Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",,"EC,POS,EC,POS,EC,POS"
POS前台-登入教學,https://www.cyberbiz.io/support/?p=2915,2915,POS>POS前台>前台登入教學,,"May 21, 2019 9:15 AM (GMT+8)",post,POS前台-登入教學 (https://app.notion.com/p/POS-34224ee0f33c8052a688c9cac421939e?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,POS
POS前台-結帳流程,https://www.cyberbiz.io/support/?p=2923,2923,POS>POS前台>結帳教學,,"May 21, 2019 9:35 AM (GMT+8)",post,POS前台-結帳流程 (https://app.notion.com/p/POS-34224ee0f33c801192bac28b8433ad3f?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,POS
POS前台-訂單作業,https://www.cyberbiz.io/support/?p=2940,2940,POS>POS前台>訂單查詢,,"May 22, 2019 8:13 AM (GMT+8)",post,POS前台-訂單作業 (https://app.notion.com/p/POS-34224ee0f33c80579268fd4500e4b275?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,POS
POS前台-商品查詢、出/進倉作業,https://www.cyberbiz.io/support/?p=2962,2962,POS>POS前台>庫存查詢,,"May 22, 2019 8:56 AM (GMT+8)",post,"出倉單 (https://app.notion.com/p/33424ee0f33c802fa30bdd1fd96808db?pvs=21), 出倉完整流程 (https://app.notion.com/p/33d24ee0f33c80e69c15d45736f537a2?pvs=21), 進倉完整流程 (https://app.notion.com/p/33d24ee0f33c805a894eec464172be37?pvs=21), 進倉單 (https://app.notion.com/p/34b24ee0f33c8083a9d3e238f7ade4a9?pvs=21)",,"branch,branch,branch,branch",,"Ann Chen,Ann Chen,Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",,"POS,POS,POS,POS"
POS前台-調倉作業,https://www.cyberbiz.io/support/?p=3006,3006,POS>POS前台>庫存調撥－調倉單,,"May 22, 2019 10:07 AM (GMT+8)",post,"調倉單 (https://app.notion.com/p/33424ee0f33c80258b81c4479360b8cd?pvs=21), 調倉完整流程 (https://app.notion.com/p/33d24ee0f33c80e8a3aaed2d9d265dce?pvs=21)",,"branch,branch",,"Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",,"POS,POS"
POS前台-庫存調整功能,https://www.cyberbiz.io/support/?p=3025,3025,POS>POS前台>庫存盤點,,"May 22, 2019 10:19 AM (GMT+8)",post,庫存調整 (https://app.notion.com/p/33424ee0f33c802cbe34d9e64a9a6937?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,POS
