Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note,產品
加價購設定(訂單/商品加價購),https://www.cyberbiz.io/support/?p=953,953,"商品>商品群組,常見問題,行銷活動>加價購/滿額贈",,"July 26, 2021 10:15 PM (GMT+8)",post,"設定商品加價購 (https://app.notion.com/p/24f24ee0f33c8076838ac298abc73112?pvs=21), 設定訂單加價購 (https://app.notion.com/p/2e624ee0f33c80b884a3e8339da3d1f1?pvs=21)","https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef","branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Jase,Jase",1,"December 31, 2025 12:22 PM",,"EC,EC"
商品頁上傳影片,https://www.cyberbiz.io/support/?p=984,984,"商品>商品上架/管理,網站設定>前台介面",,"March 14, 2019 2:48 AM (GMT+8)",post,設定商品影片 (https://app.notion.com/p/24e24ee0f33c8056b229ebc5617eb148?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
所有商品-新增商品(單筆新增、更新商品),https://www.cyberbiz.io/support/?p=1958,1958,"商品>商品上架/管理,常見問題",,"May 30, 2021 3:00 AM (GMT+8)",post,新增與更新商品 (https://app.notion.com/p/24e24ee0f33c8054bcdaf4828cb3cbaf?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
EXCEL 大量匯入商品,https://www.cyberbiz.io/support/?p=1960,1960,"商品>商品上架/管理,常見問題",,"March 31, 2023 8:25 AM (GMT+8)",post,Excel 大量匯入商品 (https://app.notion.com/p/Excel-24e24ee0f33c802a880adcf8e10dc983?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
預設版型：色票功能,https://www.cyberbiz.io/support/?p=2018,2018,"商品>商品上架/管理,常見問題",,"November 8, 2021 6:00 AM (GMT+8)",post,設定商品色票與款式圖片-預設版型 (https://app.notion.com/p/34524ee0f33c8041974aedbfa5241bc4?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
超商物流限制與排除設定,https://www.cyberbiz.io/support/?p=2025,2025,"商品>商品上架/管理,常見問題",,"November 14, 2022 6:20 AM (GMT+8)",post,設定超商配送限制與物流排除 (https://app.notion.com/p/24e24ee0f33c8007a5e6f889d99bc5d1?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
商品上架管理：配送物流/溫層綁定（一般宅配）,https://www.cyberbiz.io/support/?p=2107,2107,"商品>商品上架/管理,網站設定>金物流設定",,"March 21, 2019 8:49 AM (GMT+8)",post,設定商品配送條件（物流、溫層與出貨通路） (https://app.notion.com/p/24f24ee0f33c80789651c9895795decb?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
商品上架管理：配送物流/溫層綁定（宅配貨到付款）,https://www.cyberbiz.io/support/?p=2131,2131,"商品>商品上架/管理,網站設定>金物流設定",,"March 21, 2019 9:40 AM (GMT+8)",post,設定商品配送條件（物流、溫層與出貨通路） (https://app.notion.com/p/24f24ee0f33c80789651c9895795decb?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
結帳頁自動拆分多購物車(商品通路/溫層/物流/預購),https://www.cyberbiz.io/support/?p=2142,2142,"商品>商品上架/管理,網站設定>金物流設定",,"April 29, 2024 7:47 AM (GMT+8)",post,設定結帳拆分多購物車 (https://app.notion.com/p/24f24ee0f33c8049af57c897f078811b?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
群組排序,https://www.cyberbiz.io/support/?p=2382,2382,"商品>商品群組,常見問題",,"March 22, 2019 9:03 AM (GMT+8)",post,設定首頁商品群組排序 (https://app.notion.com/p/24f24ee0f33c805caa90f5b4e9e5d521?pvs=21),"https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94, https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
群組篩選器,https://www.cyberbiz.io/support/?p=3330,3330,商品>商品群組,,"August 2, 2019 2:56 AM (GMT+8)",post,設定商品自訂分類群組 (https://app.notion.com/p/2de24ee0f33c80b4a809fdf3fd3f5336?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
