Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,Rollup,TNB,create,note,模組,產品,訂閱版本,認領作者數量
網域設定-Godaddy,https://www.cyberbiz.io/support/?p=1,1,"網站設定>網域設定,常見問題",,"June 30, 2021 8:02 AM (GMT+8)",post,網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",1
網域設定 - HiNet,https://www.cyberbiz.io/support/?p=106,106,"TW台灣站,網站設定>網域設定,常見問題",,"August 2, 2022 2:00 AM (GMT+8)",post,網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",1
網域設定 - PChome,https://www.cyberbiz.io/support/?p=140,140,"網站設定>網域設定,常見問題",,"March 8, 2019 3:44 AM (GMT+8)",post,網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",1
管理中心 : 安全性設定,https://www.cyberbiz.io/support/?p=472,472,網站設定,,"July 9, 2021 3:30 AM (GMT+8)",post,保護後台帳號與顧客資料 (https://app.notion.com/p/2ff24ee0f33c80e19af8ede7ba0547fa?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
發票相關資訊,https://www.cyberbiz.io/support/?p=2319,2319,"訂單>發票相關,常見問題",,"April 26, 2022 2:30 AM (GMT+8)",post,管理系統代開消費者發票 (https://app.notion.com/p/37b24ee0f33c802ea7f2e95702b243c7?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,,1
電子發票：星益欣 (美麗科技),https://www.cyberbiz.io/support/?p=2693,2693,訂單>發票相關,,"April 1, 2019 4:13 AM (GMT+8)",post,"發票 (https://app.notion.com/p/36d24ee0f33c80508a2acbe6270117f7?pvs=21), 星益欣電子發票設定 (https://app.notion.com/p/38b24ee0f33c80b48c58dafc8a58a138?pvs=21)","Ann Chen,Jase","branch,branch","December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",2
新增網站管理者及權限設定,https://www.cyberbiz.io/support/?p=2881,2881,員工帳號管理,,"February 10, 2022 6:30 AM (GMT+8)",post,新增網站管理員並設定權限 (https://app.notion.com/p/32224ee0f33c80d48d39dfce0cb7e8ba?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
網域設定 – 網路中文,https://www.cyberbiz.io/support/?p=3445,3445,網站設定>網域設定,,"August 5, 2019 9:13 AM (GMT+8)",post,網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",1
網域設定 – TWNIC,https://www.cyberbiz.io/support/?p=4540,4540,"TW台灣站,網站設定>網域設定",,"October 21, 2024 7:43 AM (GMT+8)",post,網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",1
管理中心 : 一般設定,https://www.cyberbiz.io/support/?p=5598,5598,"TW台灣站,跨境電商,網站設定",,"March 4, 2024 9:23 AM (GMT+8)",post,設定網站基本資訊 (https://app.notion.com/p/2ff24ee0f33c80a3a1eefd5b281dbec5?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
CYBERBIZ 代開消費者發票 | 修改發票資訊,https://www.cyberbiz.io/support/?p=5769,5769,"訂單>發票相關,網站設定",,"February 11, 2020 3:34 AM (GMT+8)",post,管理系統代開消費者發票 (https://app.notion.com/p/37b24ee0f33c802ea7f2e95702b243c7?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,,1
二階段驗證(2FA)登入設定,https://www.cyberbiz.io/support/?p=12650,12650,常見問題,,"June 7, 2021 9:27 AM (GMT+8)",post,設定與管理二階段驗證 (https://app.notion.com/p/32524ee0f33c8080bbb8d17343443950?pvs=21),Jase,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,,,1
Authenticator驗證器 - Authy使用教學,https://www.cyberbiz.io/support/?p=12873,12873,常見問題,,"July 16, 2021 2:57 AM (GMT+8)",post,使用 Authy 啟用二階段驗證設定 (https://app.notion.com/p/Authy-32524ee0f33c80bca2f7f3d0e2f43306?pvs=21),Jase,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,,https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,1
網域設定-GANDI,https://www.cyberbiz.io/support/?p=13235,13235,"TW台灣站,網站設定>網域設定,常見問題",,"November 30, 2022 8:22 AM (GMT+8)",post,網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",1
CYBERBIZ NOW快速到貨-運費價格＆對帳方式,https://www.cyberbiz.io/support/?p=13847,13847,"TW台灣站,對帳,CYBERBIZ NOW快速到貨","CYBRBIZ NOW,pandago,快速到貨,金物流","October 26, 2023 8:53 AM (GMT+8)",post,(CYBERBIZ NOW快速到貨)快速到貨運費計算與對帳 (https://app.notion.com/p/CYBERBIZ-NOW-2fe24ee0f33c80a48369d1836a3f00d1?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef, https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074",EC,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",1
資安防護機制說明,https://www.cyberbiz.io/support/?p=14216,14216,常見問題,,"June 21, 2021 2:20 AM (GMT+8)",post,資安防護總覽與最佳實務 (https://app.notion.com/p/37a24ee0f33c80a08ec9cd82ee8f9c6c?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
管理中心 : 安全性設定,https://www.cyberbiz.io/support/?p=14334,14334,常見問題,,"June 21, 2021 8:02 AM (GMT+8)",post,保護後台帳號與顧客資料 (https://app.notion.com/p/2ff24ee0f33c80e19af8ede7ba0547fa?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
系統到期通知說明,https://www.cyberbiz.io/support/?p=21601,21601,"常見問題,系統更新優化,網站設定",,"October 18, 2021 6:18 AM (GMT+8)",post,系統到期處理流程 (https://app.notion.com/p/36d24ee0f33c8038a45cdfeec49c947a?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,,1
網域設定 – 遠傳,https://www.cyberbiz.io/support/?p=24717,24717,網站設定>網域設定,,"January 3, 2022 8:59 AM (GMT+8)",post,網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",1
CloudFlare注意事項,https://www.cyberbiz.io/support/?p=28727,28727,常見問題,,"March 17, 2022 9:01 AM (GMT+8)",post,Cloudflare SSL 衝突 (https://app.notion.com/p/Cloudflare-SSL-31b24ee0f33c808f9806d08cef71fcbc?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,,1
https開頭網址無法順利讀取網頁,https://www.cyberbiz.io/support/?p=29144,29144,常見問題,,"March 24, 2022 9:36 AM (GMT+8)",post,無法讀取 HTTPS 根網址 (https://app.notion.com/p/HTTPS-31b24ee0f33c80d2a20cffef3d0f3ee3?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,,1
如何排除未收到商家通知信件,https://www.cyberbiz.io/support/?p=31664,31664,"TW台灣站,跨境電商>北美站,常見問題",,"July 8, 2022 3:55 AM (GMT+8)",post,如何排除未收到商家通知信件 (https://app.notion.com/p/34f24ee0f33c8089948dd5c252452568?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,,1
跨境電商 - 管理中心 : 一般設定,https://www.cyberbiz.io/support/?p=33987,33987,"跨境電商,常見問題",,"September 28, 2022 8:08 AM (GMT+8)",post,設定網站基本資訊 (https://app.notion.com/p/2ff24ee0f33c80a3a1eefd5b281dbec5?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
網域設定 - 台灣大哥大,https://www.cyberbiz.io/support/?p=36655,36655,"TW台灣站,網站設定>網域設定","台灣大哥大,網域","February 13, 2023 6:51 AM (GMT+8)",post,網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",1
網域設定 : 捕夢網,https://www.cyberbiz.io/support/?p=37604,37604,"TW台灣站,網站設定>網域設定",,"April 25, 2023 5:51 AM (GMT+8)",post,網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),Ann Chen,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",1
