Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note,產品
商家自行驗收退貨,https://www.cyberbiz.io/support/?p=4414,4414,"訂單>退貨退款,峰潮倉庫-Honeycomb",,"October 21, 2024 3:44 AM (GMT+8)",post,商家自行驗收退貨 (https://app.notion.com/p/32724ee0f33c80aebbafe768b46c1fe4?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,WMS
CYBERBIZ電商倉儲-商家進倉規範,https://www.cyberbiz.io/support/?p=8770,8770,峰潮倉庫-Honeycomb,,"August 21, 2020 3:03 AM (GMT+8)",post,商家進倉規範 (https://app.notion.com/p/32524ee0f33c80009826fe0dc23c46bf?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,WMS
CYBERBIZ電商倉儲-後台操作(商品相關),https://www.cyberbiz.io/support/?p=8920,8920,峰潮倉庫-Honeycomb,,"August 27, 2020 8:16 AM (GMT+8)",post,"單一品項 (https://app.notion.com/p/32724ee0f33c80e9946fc2fbdd685274?pvs=21), 加工商品 (https://app.notion.com/p/32724ee0f33c806688e0f92997c469e8?pvs=21), 季別群組 (https://app.notion.com/p/32724ee0f33c804687fdd3a1e00a03f6?pvs=21)",,"branch,branch,branch",,"Ann Chen,Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",,"WMS,WMS,WMS"
CYBERBIZ電商倉儲-後台操作(通路),https://www.cyberbiz.io/support/?p=9043,9043,峰潮倉庫-Honeycomb,,"September 2, 2020 9:52 AM (GMT+8)",post,通路 (https://app.notion.com/p/32524ee0f33c80be9ff6e44e17191582?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,WMS
CYBERBIZ電商倉儲-後台操作(調倉單),https://www.cyberbiz.io/support/?p=9068,9068,峰潮倉庫-Honeycomb,,"November 30, 2023 1:43 AM (GMT+8)",post,調倉單 (https://app.notion.com/p/32724ee0f33c8038bffccc932361730f?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,WMS
CYBERBIZ電商倉儲-後台操作(進倉單),https://www.cyberbiz.io/support/?p=9088,9088,峰潮倉庫-Honeycomb,,"September 3, 2020 7:49 AM (GMT+8)",post,進倉單 (https://app.notion.com/p/32524ee0f33c808d99d7cd884927ad78?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,WMS
CYBERBIZ電商倉儲-後台操作(訂單相關),https://www.cyberbiz.io/support/?p=9105,9105,峰潮倉庫-Honeycomb,,"December 19, 2023 7:43 AM (GMT+8)",post,"手動建單 (https://app.notion.com/p/32124ee0f33c803abefef7021bf62491?pvs=21), 列表 (https://app.notion.com/p/32124ee0f33c8016a990d8c85bf26cbe?pvs=21), 手動確認收貨 (https://app.notion.com/p/32724ee0f33c8029970dca98d05eaf0e?pvs=21)",,"branch,branch,branch",,"Ann Chen,Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",,"WMS,WMS,WMS"
CYBERBIZ電商倉儲-後台操作(退貨),https://www.cyberbiz.io/support/?p=9139,9139,峰潮倉庫-Honeycomb,,"December 12, 2023 7:45 AM (GMT+8)",post,"退貨單 (https://app.notion.com/p/32724ee0f33c80c6a87cde461dd5fbb6?pvs=21), 退貨與派車 (https://app.notion.com/p/32724ee0f33c80d0903cdd486e1b4f9c?pvs=21)",,"branch,branch",,"Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",,"WMS,WMS"
CYBERBIZ電商倉儲-後台操作(庫存紀錄),https://www.cyberbiz.io/support/?p=9159,9159,峰潮倉庫-Honeycomb,,"September 4, 2020 9:05 AM (GMT+8)",post,庫存紀錄 (https://app.notion.com/p/32524ee0f33c805fbac7c0d29a6d15e6?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,WMS
串倉規則說明,https://www.cyberbiz.io/support/?p=9638,9638,峰潮倉庫-Honeycomb,,"September 30, 2020 4:06 AM (GMT+8)",post,官網與倉儲同步規則 (https://app.notion.com/p/32724ee0f33c80868c4bc6c090393f6f?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,WMS
現貨、限量、預購銷售,https://www.cyberbiz.io/support/?p=9658,9658,峰潮倉庫-Honeycomb,,"September 30, 2020 6:58 AM (GMT+8)",post,現貨、限量、預購銷售 (https://app.notion.com/p/32724ee0f33c8051b61ce765f1394826?pvs=21),,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,WMS
組合商品（加工品）,https://www.cyberbiz.io/support/?p=9749,9749,峰潮倉庫-Honeycomb,,"October 5, 2020 7:05 AM (GMT+8)",post,"新增與設定組合商品 (https://app.notion.com/p/24f24ee0f33c800b84cae96897bb184b?pvs=21), 加工商品 (https://app.notion.com/p/32724ee0f33c806688e0f92997c469e8?pvs=21)",https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,"trunk,branch","https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Jase,Ann Chen",2,"December 31, 2025 12:22 PM",,"EC,WMS"
部分串倉-拆單,https://www.cyberbiz.io/support/?p=22981,22981,"峰潮倉庫-Honeycomb,訂單",,"November 22, 2021 6:55 AM (GMT+8)",post,啟用部分串倉與拆單 (https://app.notion.com/p/32124ee0f33c8089bf8fc27463cfdc1e?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,"EC,WMS"
