Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags,產品
分析報表-圖表總覽,"PLUS版適用,分析報表","March 9, 2021 8:40 AM (GMT+8)",圖表總覽 (https://app.notion.com/p/38024ee0f33c80db9661fdc70d6c1368?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,2974,https://www.cyberbiz.io/helpcenter/?p=2974,post,"PLUS版適用,圖表總覽",EC
基本報表,分析報表,"March 11, 2021 7:00 AM (GMT+8)",基本報表 (https://app.notion.com/p/38624ee0f33c80bcbe2acd231d458760?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6",Yes,3023,https://www.cyberbiz.io/helpcenter/?p=3023,post,,EC
商品圖表,分析報表,"March 11, 2021 8:52 AM (GMT+8)",商品圖表 (https://app.notion.com/p/38624ee0f33c8040a042fcbceb586ab1?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6",Yes,3052,https://www.cyberbiz.io/helpcenter/?p=3052,post,,EC
分析報表-營收分析,PLUS版適用,"July 13, 2022 6:27 AM (GMT+8)",營收分析 (https://app.notion.com/p/38024ee0f33c80108c70eb8a83e3a15e?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,5041,https://www.cyberbiz.io/helpcenter/?p=5041,post,PLUS版專用,EC
分析報表-訂單分析(訂單總體分析),"PLUS版適用,分析報表","July 13, 2022 6:31 AM (GMT+8)",訂單分析 (https://app.notion.com/p/38024ee0f33c8032b0bbe04c06a7a97d?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,5043,https://www.cyberbiz.io/helpcenter/?p=5043,post,PLUS版專用,EC
分析報表-會員分析,"PLUS版適用,分析報表","July 13, 2022 6:43 AM (GMT+8)",會員分析 (https://app.notion.com/p/38124ee0f33c8096a298ff7c0b6f8389?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,5050,https://www.cyberbiz.io/helpcenter/?p=5050,post,PLUS版專用,EC
分析報表-商品分析,"PLUS版適用,分析報表","July 13, 2022 6:47 AM (GMT+8)",商品分析 (https://app.notion.com/p/38024ee0f33c80abb89ec6664dae2007?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,5054,https://www.cyberbiz.io/helpcenter/?p=5054,post,PLUS版專用,EC
分析報表-行銷活動分析(優惠券分析),"PLUS版適用,分析報表","July 13, 2022 6:48 AM (GMT+8)",行銷活動分析 (https://app.notion.com/p/38124ee0f33c803b9c46e9599850cb01?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,5056,https://www.cyberbiz.io/helpcenter/?p=5056,post,PLUS版專用,EC
分析報表 - OMO總覽,PLUS版適用,"November 17, 2023 9:32 AM (GMT+8)",認識 OMO 分析報表 (https://app.notion.com/p/OMO-38824ee0f33c800c98f3cf1d560c37a8?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,7800,https://www.cyberbiz.io/helpcenter/?p=7800,post,,"EC,POS"
PLUS版功能 - 分析報表 : 行銷活動分析(折扣活動分析),"PLUS版適用,分析報表","January 11, 2024 1:11 AM (GMT+8)",行銷活動分析 (https://app.notion.com/p/38124ee0f33c803b9c46e9599850cb01?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,8101,https://www.cyberbiz.io/helpcenter/?p=8101,post,"PLUS版專用,圖表分析",EC
自動化廣告系統,第三方平台整合>Google相關設定,"January 22, 2024 8:36 AM (GMT+8)",自動化廣告系統(Google 購物廣告) (https://app.notion.com/p/Google-26a24ee0f33c80a7a950f0e0254c4cb7?pvs=21),"https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4, https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,8203,https://www.cyberbiz.io/helpcenter/?p=8203,post,GOOGLE廣告,EC
分析報表 : 會員分析（消費顧客分析）,"PLUS版適用,分析報表","February 5, 2024 3:16 AM (GMT+8)",消費顧客分析 (https://app.notion.com/p/38224ee0f33c80e38557c712a85709f3?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,8261,https://www.cyberbiz.io/helpcenter/?p=8261,post,"PLUS版專用,圖表分析",EC
分析報表-商品分析,"PLUS版適用,分析報表,商品","December 25, 2024 8:51 AM (GMT+8)",商品分析 (https://app.notion.com/p/38024ee0f33c80abb89ec6664dae2007?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,10991,https://www.cyberbiz.io/helpcenter/?p=10991,post,,EC
