Name,Categories,Date,Doc By Plan,Refactor,ID,Permalink,Post Type,Tags,301
Google Analytics ：串接教學,第三方平台整合>Google相關設定,"July 13, 2021 8:56 AM (GMT+8)",建立並串接 Google Analytics (https://app.notion.com/p/Google-Analytics-32924ee0f33c804d8da5cb747f946a52?pvs=21),Yes,678,https://www.cyberbiz.io/helpcenter/?p=678,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Google Tag Manager 教學,第三方平台整合>Google相關設定,"September 19, 2019 9:02 AM (GMT+8)",建立 Google Tag Manager 並串接 CYBERBIZ (https://app.notion.com/p/Google-Tag-Manager-CYBERBIZ-32624ee0f33c806596aed84e84ed1c87?pvs=21),Yes,689,https://www.cyberbiz.io/helpcenter/?p=689,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Google購物廣告設定(GMC),第三方平台整合>Google相關設定,"September 24, 2021 2:00 AM (GMT+8)",設定 Google Merchant Center 並同步 CYBERBIZ 商品 (https://app.notion.com/p/Google-Merchant-Center-CYBERBIZ-26a24ee0f33c80579970cd70957f4b4f?pvs=21),Yes,718,https://www.cyberbiz.io/helpcenter/?p=718,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
使用Google Tag Assistant檢測網站追蹤代碼,第三方平台整合>Google相關設定,"September 23, 2019 3:08 AM (GMT+8)",使用 Google Tag Assistant 驗證追蹤代碼是否正確安裝 (https://app.notion.com/p/Google-Tag-Assistant-32624ee0f33c802a8a02f2181a884125?pvs=21),Yes,741,https://www.cyberbiz.io/helpcenter/?p=741,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
如何在Google Ads建立轉換追蹤,"第三方平台整合>Google相關設定,PLUS版適用","August 17, 2021 1:00 AM (GMT+8)",設定 Google Ads 轉換追蹤 (https://app.notion.com/p/Google-Ads-32e24ee0f33c80cbb5c5c6a6445442d7?pvs=21),Yes,756,https://www.cyberbiz.io/helpcenter/?p=756,post,ADS,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Facebook登入教學,第三方平台整合>Facebook相關設定,"June 7, 2021 7:48 AM (GMT+8)",設定 Facebook 快速登入 (https://app.notion.com/p/Facebook-33424ee0f33c80e19bade90d6351f6b9?pvs=21),No,776,https://www.cyberbiz.io/helpcenter/?p=776,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
美安shop.com串接,第三方平台整合>美安串接,"February 10, 2022 1:30 AM (GMT+8)",串接美安通路 (https://app.notion.com/p/33424ee0f33c80dc8c70d606f20031f6?pvs=21),Yes,850,https://www.cyberbiz.io/helpcenter/?p=850,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
LINE 快速登入教學,第三方平台整合>LINE相關設定,"October 19, 2023 2:16 AM (GMT+8)",設定 LINE 快速登入 (https://app.notion.com/p/LINE-30724ee0f33c809da96cc14227652c53?pvs=21),Yes,865,https://www.cyberbiz.io/helpcenter/?p=865,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Meta 廣告成效分析,第三方平台整合>Facebook相關設定,"November 25, 2019 2:55 AM (GMT+8)",使用 Meta 廣告成效分析 (https://app.notion.com/p/Meta-34924ee0f33c80eb8f78caf651ccd4be?pvs=21),Yes,1737,https://www.cyberbiz.io/helpcenter/?p=1737,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
FACEBOOK 商業擴充套件－STEP.1-1 初步設定,第三方平台整合>Facebook相關設定,"February 4, 2021 11:48 AM (GMT+8)",設定 FBE 帳號授權與資產連結 (https://app.notion.com/p/FBE-33d24ee0f33c8064ba34c2c783d8797f?pvs=21),Yes,2870,https://www.cyberbiz.io/helpcenter/?p=2870,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
