Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags,產品
將網站地圖 SITEMAP 上傳至 GSC,網站設定>前台介面,"July 5, 2021 3:23 AM (GMT+8)",將 Sitemap 提交至 Google Search Console (https://app.notion.com/p/Sitemap-Google-Search-Console-32924ee0f33c8033824ed1331bf7ac32?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,467,https://www.cyberbiz.io/helpcenter/?p=467,post,,EC
設定促銷活動優惠券,行銷活動>優惠券,"September 11, 2019 8:26 AM (GMT+8)",設定優惠券 (https://app.notion.com/p/25a24ee0f33c8064b885debe778cada3?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,509,https://www.cyberbiz.io/helpcenter/?p=509,post,,EC
結帳優惠計算順序,行銷活動>商品優惠折扣,"September 12, 2019 2:16 AM (GMT+8)",結帳優惠計算順序 (https://app.notion.com/p/36d24ee0f33c80a7a1e9feb094c74414?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,,Yes,537,https://www.cyberbiz.io/helpcenter/?p=537,post,,EC
部落格管理,"網站設定,行銷活動>行銷工具","August 17, 2021 2:00 AM (GMT+8)",部落格管理與文章發佈指南 (https://app.notion.com/p/32824ee0f33c8087aa0df04d00082e58?pvs=21),"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,631,https://www.cyberbiz.io/helpcenter/?p=631,post,,
商品群組 ：任選折扣群組,商品>商品群組,"September 24, 2019 6:46 AM (GMT+8)",任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,1004,https://www.cyberbiz.io/helpcenter/?p=1004,post,,EC
指定商品送紅利,"PLUS版適用,行銷活動>紅利購物金,紅利點數","September 24, 2019 6:47 AM (GMT+8)",指定商品送紅利 (https://app.notion.com/p/25924ee0f33c80d4ba43d63816b2e22d?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,1006,https://www.cyberbiz.io/helpcenter/?p=1006,post,,EC
加價購設定(訂單/商品加價購),商品>商品群組,"September 24, 2019 6:49 AM (GMT+8)","設定商品加價購 (https://app.notion.com/p/24f24ee0f33c8076838ac298abc73112?pvs=21), 設定訂單加價購 (https://app.notion.com/p/2e624ee0f33c80b884a3e8339da3d1f1?pvs=21)","https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef","branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Yes,Yes",1008,https://www.cyberbiz.io/helpcenter/?p=1008,post,,"EC,EC"
設定商品任選折扣活動：任選折數,"商品>商品群組,行銷活動","September 25, 2019 3:48 AM (GMT+8)","編輯商品簡述與商品標語 (https://app.notion.com/p/2ce24ee0f33c807c9476fe20e842f9a3?pvs=21), 任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21)","https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e","trunk,branch","https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Yes,Yes",1060,https://www.cyberbiz.io/helpcenter/?p=1060,post,,"EC,EC"
設定商品任選折扣活動：任選固定金額,"商品>商品群組,行銷活動","September 25, 2019 3:57 AM (GMT+8)",任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,1065,https://www.cyberbiz.io/helpcenter/?p=1065,post,,EC
設定商品任選折扣活動：任選折固定金額,"商品>商品群組,行銷活動>行銷工具","September 25, 2019 3:58 AM (GMT+8)",任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,1069,https://www.cyberbiz.io/helpcenter/?p=1069,post,,EC
