Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags,產品
介紹所有會員頁面,會員>會員管理,"March 19, 2024 1:00 AM (GMT+8)",管理會員檔案 (https://app.notion.com/p/25524ee0f33c80428c0fee26b081e8db?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,248,https://www.cyberbiz.io/helpcenter/?p=248,post,,EC
大量匯入新會員,"PLUS版適用,會員>會員管理","February 7, 2023 6:00 AM (GMT+8)",批次匯入與編輯會員 (https://app.notion.com/p/25524ee0f33c807daf71c12b33db5a7a?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,264,https://www.cyberbiz.io/helpcenter/?p=264,post,,EC
管理會員客服問答,會員>會員管理,"August 28, 2019 2:39 AM (GMT+8)",會員客服系統 (https://app.notion.com/p/25524ee0f33c80acae00fb0bb143c5ae?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,275,https://www.cyberbiz.io/helpcenter/?p=275,post,,EC
建立新版VIP會員專屬價格,PLUS版適用,"August 24, 2023 2:10 AM (GMT+8)",設定 VIP 會員專屬價格 (https://app.notion.com/p/VIP-24e24ee0f33c8063be5aeb5109135b72?pvs=21),"https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94, https://app.notion.com/25524ee0f33c8090bb94dda10f174efc",branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,5794,https://www.cyberbiz.io/helpcenter/?p=5794,post,會員,EC
大量修改會員資料,"PLUS版適用,會員>會員管理","February 15, 2023 7:41 AM (GMT+8)",批次匯入與編輯會員 (https://app.notion.com/p/25524ee0f33c807daf71c12b33db5a7a?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,6879,https://www.cyberbiz.io/helpcenter/?p=6879,post,,EC
設定顧客註冊頁面,會員>會員管理,"March 25, 2023 10:00 AM (GMT+8)",顧客註冊流程與欄位 (https://app.notion.com/p/25524ee0f33c80baa1e2da45de652eaa?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,7209,https://www.cyberbiz.io/helpcenter/?p=7209,post,,EC
建立新版VIP優惠制度,會員>VIP設定,"November 17, 2023 9:18 AM (GMT+8)",設定新版VIP專屬優惠 (https://app.notion.com/p/VIP-25524ee0f33c80f09607eb47aacc29b2?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,7498,https://www.cyberbiz.io/helpcenter/?p=7498,post,PLUS版專用,EC
新版VIP系統規則,"PLUS版適用,會員>VIP設定","November 17, 2023 9:18 AM (GMT+8)",VIP 功能運作指南 (https://app.notion.com/p/VIP-25524ee0f33c80dfae70cdbaee42ffb2?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,7505,https://www.cyberbiz.io/helpcenter/?p=7505,post,PLUS版專用,EC
建立新版VIP制度,會員>VIP設定,"November 17, 2023 9:18 AM (GMT+8)",建立全館VIP制度 (https://app.notion.com/p/VIP-25524ee0f33c8088bca0fa2de6300ee9?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,7509,https://www.cyberbiz.io/helpcenter/?p=7509,post,PLUS版專用,EC
介紹會員明細頁,會員>會員管理,"March 20, 2024 9:41 AM (GMT+8)",管理會員檔案 (https://app.notion.com/p/25524ee0f33c80428c0fee26b081e8db?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,8497,https://www.cyberbiz.io/helpcenter/?p=8497,post,,EC
建立新版VIP群組標籤,"PLUS版適用,會員>VIP設定","April 16, 2024 7:31 AM (GMT+8)",建立專屬VIP群組 (https://app.notion.com/p/VIP-25524ee0f33c80ed8f30f1dc08329429?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,8621,https://www.cyberbiz.io/helpcenter/?p=8621,post,,EC
會員忘記密碼,"PLUS版適用,常見問題,會員>會員管理","May 29, 2024 4:24 AM (GMT+8)",管理會員檔案 (https://app.notion.com/p/25524ee0f33c80428c0fee26b081e8db?pvs=21),https://app.notion.com/25524ee0f33c8090bb94dda10f174efc,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,8798,https://www.cyberbiz.io/helpcenter/?p=8798,post,會員,EC
