Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags,產品
訂單列表,訂單>訂單管理,"July 11, 2019 3:46 AM (GMT+8)",訂單管理介面說明 (https://app.notion.com/p/30224ee0f33c8087a124e1d04b6792b5?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,10,https://www.cyberbiz.io/helpcenter/?p=10,post,,EC
訂單頁面,訂單>訂單狀態,"August 13, 2019 4:36 AM (GMT+8)",訂單管理介面說明 (https://app.notion.com/p/30224ee0f33c8087a124e1d04b6792b5?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,34,https://www.cyberbiz.io/helpcenter/?p=34,post,,EC
訂單自動結案設定,"訂單>訂單狀態,訂單>訂單管理","August 22, 2019 3:05 AM (GMT+8)",設定訂單自動結案 (https://app.notion.com/p/30024ee0f33c800b861fdf9ae00399e2?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,49,https://www.cyberbiz.io/helpcenter/?p=49,post,,EC
宅配通 : 操作出貨,訂單>出貨,"September 19, 2022 5:30 AM (GMT+8)",使用宅配通出貨 (https://app.notion.com/p/36524ee0f33c80bfa111c49e29e499cc?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,63,https://www.cyberbiz.io/helpcenter/?p=63,post,"出貨,宅配通",EC
黑貓宅配 : 操作出貨,"訂單>出貨,網站設定>金物流設定","August 29, 2022 7:39 AM (GMT+8)",使用黑貓宅配出貨 (https://app.notion.com/p/35e24ee0f33c804d91b3e509245f9047?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,84,https://www.cyberbiz.io/helpcenter/?p=84,post,"宅配出貨,黑貓",EC
宅配 : 部分出貨,訂單>出貨,"October 13, 2022 8:00 AM (GMT+8)",設定訂單部分出貨 (https://app.notion.com/p/35e24ee0f33c80daa437cf5f80eb1066?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,93,https://www.cyberbiz.io/helpcenter/?p=93,post,"宅配出貨,宅配通,部分出貨,黑貓",EC
自訂物流 : 操作出貨,訂單>出貨,"November 7, 2022 5:46 AM (GMT+8)",如何使用自訂物流出貨 (https://app.notion.com/p/35d24ee0f33c80e98dffec817b860944?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,105,https://www.cyberbiz.io/helpcenter/?p=105,post,"宅配出貨,自訂物流",EC
操作出貨 : 超商店到店(C2C),訂單>出貨,"November 28, 2022 6:00 AM (GMT+8)",操作超商店到店 C2C 出貨 (https://app.notion.com/p/C2C-2f724ee0f33c8080af5cfeccaabf57d7?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,120,https://www.cyberbiz.io/helpcenter/?p=120,post,,EC
超商大宗寄倉 B2C 操作出貨,訂單>出貨,"October 11, 2022 7:00 AM (GMT+8)",使用超商大宗寄倉（B2C）出貨 (https://app.notion.com/p/B2C-36b24ee0f33c80a8b6d9ebf6ee05a9ee?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,122,https://www.cyberbiz.io/helpcenter/?p=122,post,訂單,EC
未付款提醒,訂單>訂單狀態,"June 30, 2022 2:30 AM (GMT+8)",設定未付款提醒 (https://app.notion.com/p/30124ee0f33c8069a7c8e792a3e13602?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,158,https://www.cyberbiz.io/helpcenter/?p=158,post,,EC
訂單 : 取消訂單,訂單>訂單狀態,"May 7, 2024 9:03 PM (GMT+8)",如何取消訂單 (https://app.notion.com/p/35624ee0f33c80dc8087c4aebb56f6f6?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,174,https://www.cyberbiz.io/helpcenter/?p=174,post,,EC
結案訂單(結束訂單),訂單>訂單狀態,"August 27, 2019 1:59 AM (GMT+8)",如何手動結案訂單 (https://app.notion.com/p/35824ee0f33c80818621c30cf3a8c0fc?pvs=21),https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,192,https://www.cyberbiz.io/helpcenter/?p=192,post,,EC
