Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags,產品
結帳頁相關設定,"PLUS版適用,網站設定>金物流設定","December 8, 2022 2:00 PM (GMT+8)",結帳頁與物流設定總覽 (https://app.notion.com/p/30324ee0f33c8044b6c3fcf00e4d1e8e?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",No,329,https://www.cyberbiz.io/helpcenter/?p=329,post,"物流,結帳,金流",EC
DHL 物流開通設定,"PLUS版適用,網站設定>金物流設定","October 8, 2024 1:48 AM (GMT+8)",DHL 跨境物流 (https://app.notion.com/p/DHL-36c24ee0f33c80d2881aeef46d07cd11?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Yes,393,https://www.cyberbiz.io/helpcenter/?p=393,post,,"EC,GL"
建立及管理 DHL 託運單,"PLUS版適用,網站設定>金物流設定","October 8, 2024 1:52 AM (GMT+8)",DHL 跨境物流 (https://app.notion.com/p/DHL-36c24ee0f33c80d2881aeef46d07cd11?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Yes,1769,https://www.cyberbiz.io/helpcenter/?p=1769,post,,"EC,GL"
金流申請：LINE Pay,金流,"July 13, 2022 1:30 AM (GMT+8)",設定 LINE Pay (https://app.notion.com/p/LINE-Pay-2f424ee0f33c80c09032e0788584f199?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,2127,https://www.cyberbiz.io/helpcenter/?p=2127,post,"LINEPAY,金流",EC
商品上架管理：配送物流/溫層綁定（一般宅配）,網站設定>金物流設定,"June 11, 2020 7:53 AM (GMT+8)",設定商品配送條件（物流、溫層與出貨通路） (https://app.notion.com/p/24f24ee0f33c80789651c9895795decb?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,2221,https://www.cyberbiz.io/helpcenter/?p=2221,post,,EC
商品上架管理：配送通路綁定,網站設定>金物流設定,"June 12, 2020 4:05 AM (GMT+8)",設定商品配送條件（物流、溫層與出貨通路） (https://app.notion.com/p/24f24ee0f33c80789651c9895795decb?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,2249,https://www.cyberbiz.io/helpcenter/?p=2249,post,,EC
金流申請：PAYPAL,網站設定>金物流設定,"September 16, 2020 8:07 AM (GMT+8)",設定 PayPal (https://app.notion.com/p/PayPal-2f524ee0f33c8082bac8f60307c0dd00?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,2553,https://www.cyberbiz.io/helpcenter/?p=2553,post,,EC
自訂物流,網站設定>金物流設定,"July 26, 2022 5:35 AM (GMT+8)",串接宅配貨到不付款/自訂物流 (https://app.notion.com/p/31724ee0f33c80a1be2ae28aaf8e14a0?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Yes,2746,https://www.cyberbiz.io/helpcenter/?p=2746,post,"多購物車,溫層,物流,物流運費",EC
CYBERBIZ X 街口支付,網站設定>金物流設定,"March 21, 2022 7:21 AM (GMT+8)",設定街口支付 (https://app.notion.com/p/2f524ee0f33c80cdb9c3d376302cee03?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,2933,https://www.cyberbiz.io/helpcenter/?p=2933,post,,EC
補印/加印託運單,訂單>訂單管理,"March 8, 2022 2:00 AM (GMT+8)",(宅配物流託運單)補印與加印託運單 (https://app.notion.com/p/2d824ee0f33c805f9afdea3b9755ef3f?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,3430,https://www.cyberbiz.io/helpcenter/?p=3430,post,,EC
"<span style=""text-transform: none;"">金流說明 : Google Pay™</span>","網站設定>金物流設定>CYBERBIZ PAYMENTS,金流","September 15, 2021 2:45 AM (GMT+8)",串接Google Pay (https://app.notion.com/p/Google-Pay-31f24ee0f33c803f855cda22ef396241?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Yes,3900,https://www.cyberbiz.io/helpcenter/?p=3900,post,,EC
PLUS用戶 - 超商店到店寄件(C2C) 串接設定,"PLUS版適用,金流","July 15, 2022 9:10 AM (GMT+8)",設定超商店到店物流串接 (https://app.notion.com/p/2f624ee0f33c805d81d2e91e2e46726c?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,5058,https://www.cyberbiz.io/helpcenter/?p=5058,post,PLUS版專用,EC
PLUS用戶 - 超商大宗寄倉(B2C) 設定&申請,"PLUS版適用,金流","July 18, 2022 3:36 AM (GMT+8)",設定超商大宗寄倉 B2C (https://app.notion.com/p/B2C-2fb24ee0f33c8029a152cb06ab431ffe?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,5064,https://www.cyberbiz.io/helpcenter/?p=5064,post,PLUS版專用,EC
