Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags,產品
分潤 – 推薦人分潤(顧客分潤),行銷活動>分潤設定,"December 4, 2023 4:18 PM (GMT+8)","推薦人分潤 (https://app.notion.com/p/25b24ee0f33c80b4823bc687cb3686a7?pvs=21), 匯出分潤報表 (https://app.notion.com/p/2fc24ee0f33c805fb300de10bcd543a9?pvs=21), 查詢分潤夥伴與代碼 (https://app.notion.com/p/2fc24ee0f33c8048899df04035903054?pvs=21), 了解分潤功能 (https://app.notion.com/p/25b24ee0f33c80eab702f71a1e99aba9?pvs=21)","https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f","branch,branch,branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Yes,Yes,Yes,Yes",579,https://www.cyberbiz.io/helpcenter/?p=579,post,,"EC,POS,EC,POS,EC,POS,EC,POS"
分潤 – 推薦人分潤(第三方分潤),行銷活動>分潤設定,"December 5, 2023 2:58 AM (GMT+8)","推薦人分潤 (https://app.notion.com/p/25b24ee0f33c80b4823bc687cb3686a7?pvs=21), 匯出分潤報表 (https://app.notion.com/p/2fc24ee0f33c805fb300de10bcd543a9?pvs=21), 查詢分潤夥伴與代碼 (https://app.notion.com/p/2fc24ee0f33c8048899df04035903054?pvs=21), 了解分潤功能 (https://app.notion.com/p/25b24ee0f33c80eab702f71a1e99aba9?pvs=21)","https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f","branch,branch,branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Yes,Yes,Yes,Yes",597,https://www.cyberbiz.io/helpcenter/?p=597,post,,"EC,POS,EC,POS,EC,POS,EC,POS"
分潤 – 推薦人分潤(員工分潤),行銷活動>分潤設定,"September 18, 2019 9:06 AM (GMT+8)","推薦人分潤 (https://app.notion.com/p/25b24ee0f33c80b4823bc687cb3686a7?pvs=21), 匯出分潤報表 (https://app.notion.com/p/2fc24ee0f33c805fb300de10bcd543a9?pvs=21), 查詢分潤夥伴與代碼 (https://app.notion.com/p/2fc24ee0f33c8048899df04035903054?pvs=21), 了解分潤功能 (https://app.notion.com/p/25b24ee0f33c80eab702f71a1e99aba9?pvs=21)","https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f","branch,branch,branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Yes,Yes,Yes,Yes",608,https://www.cyberbiz.io/helpcenter/?p=608,post,,"EC,POS,EC,POS,EC,POS,EC,POS"
分潤設定：註冊人分潤,行銷活動>分潤設定,"September 26, 2019 3:39 AM (GMT+8)",註冊人分潤 (https://app.notion.com/p/25b24ee0f33c8000a068cb1501b1ddf5?pvs=21),https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,branch,"https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,1182,https://www.cyberbiz.io/helpcenter/?p=1182,post,,"EC,POS"
推薦人分潤-推薦連結說明,行銷活動>分潤設定,"November 19, 2021 2:34 AM (GMT+8)",推薦碼連結的應用 (https://app.notion.com/p/2fd24ee0f33c80afa39bf4ff179c51be?pvs=21),https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,branch,"https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,4051,https://www.cyberbiz.io/helpcenter/?p=4051,post,,"EC,POS"
分潤 - 推薦人分潤,行銷活動>分潤設定,"December 22, 2021 2:02 AM (GMT+8)","推薦人分潤 (https://app.notion.com/p/25b24ee0f33c80b4823bc687cb3686a7?pvs=21), 了解分潤功能 (https://app.notion.com/p/25b24ee0f33c80eab702f71a1e99aba9?pvs=21)","https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f","branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Yes,Yes",4116,https://www.cyberbiz.io/helpcenter/?p=4116,post,,"EC,POS,EC,POS"
PLUS用戶 - 互動遊戲設定,"PLUS版適用,行銷活動","October 26, 2022 6:35 AM (GMT+8)",互動遊戲(EC) (https://app.notion.com/p/EC-25a24ee0f33c806bb5dfce647b69bb86?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,5804,https://www.cyberbiz.io/helpcenter/?p=5804,post,PLUS版專用,"EC,POS"
分析報表 - OMO總覽,PLUS版適用,"November 17, 2023 9:32 AM (GMT+8)",認識 OMO 分析報表 (https://app.notion.com/p/OMO-38824ee0f33c800c98f3cf1d560c37a8?pvs=21),https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8,branch,"https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,7800,https://www.cyberbiz.io/helpcenter/?p=7800,post,,"EC,POS"
行銷活動 : 商品排除指定優惠,PLUS版適用,"December 14, 2023 2:45 AM (GMT+8)",設定商品排除指定優惠 (https://app.notion.com/p/24f24ee0f33c80308b42dbb43e26f8e9?pvs=21),"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,8058,https://www.cyberbiz.io/helpcenter/?p=8058,post,PLUS版專用,"EC,POS"
多國語系-互動遊戲,"PLUS版適用,網站設定>前台介面","February 21, 2025 7:02 AM (GMT+8)",互動遊戲(EC) (https://app.notion.com/p/EC-25a24ee0f33c806bb5dfce647b69bb86?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,11192,https://www.cyberbiz.io/helpcenter/?p=11192,post,,"EC,POS"
