Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags
前台介面：如何套用/更換主題套版,網站設定>前台介面,"May 31, 2022 7:00 AM (GMT+8)",套用與更換網站主題 (https://app.notion.com/p/38724ee0f33c80b78cb6d7c8833f3936?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,410,https://www.cyberbiz.io/helpcenter/?p=410,post,版型主題
Google Map地圖設定：門市/公司,網站設定>前台介面,"September 9, 2019 3:16 AM (GMT+8)",設定與修改客服中心資訊 (https://app.notion.com/p/31924ee0f33c80eeb642f67b3ca9886a?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,420,https://www.cyberbiz.io/helpcenter/?p=420,post,
部落格管理,"網站設定,行銷活動>行銷工具","August 17, 2021 2:00 AM (GMT+8)",部落格管理與文章發佈指南 (https://app.notion.com/p/32824ee0f33c8087aa0df04d00082e58?pvs=21),"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,631,https://www.cyberbiz.io/helpcenter/?p=631,post,
群組排序,商品>商品群組,"September 24, 2019 6:37 AM (GMT+8)",設定商品群組前台排序 (https://app.notion.com/p/24f24ee0f33c805caa90f5b4e9e5d521?pvs=21),"https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94, https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,995,https://www.cyberbiz.io/helpcenter/?p=995,post,
文章編輯器CKEditor常見問題排解,"商品>商品上架/管理,網站設定,訂單","October 2, 2019 6:39 AM (GMT+8)",使用文字編輯器編輯內容 (https://app.notion.com/p/32824ee0f33c80cbb8a8ce8a3145cf2d?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,1330,https://www.cyberbiz.io/helpcenter/?p=1330,post,
首頁輪播圖速度調整,網站設定>前台介面,"October 28, 2019 9:02 AM (GMT+8)",調整首頁跑馬燈（輪播圖）的轉場停留時間 (https://app.notion.com/p/31724ee0f33c800193e0eb843c41ecac?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,1643,https://www.cyberbiz.io/helpcenter/?p=1643,post,
客服視窗設定(非免費功能),網站設定>語法教學,"July 21, 2021 3:49 AM (GMT+8)",設置網站客服視窗 (https://app.notion.com/p/31724ee0f33c8006ac36cd25a46c0e24?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,3461,https://www.cyberbiz.io/helpcenter/?p=3461,post,
恢復樣版編輯器,網站設定>語法教學,"July 21, 2021 3:54 AM (GMT+8)",使用樣板編輯器恢復網頁代碼 (https://app.notion.com/p/31124ee0f33c805ea589ec5dc4be6f27?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,3474,https://www.cyberbiz.io/helpcenter/?p=3474,post,
跑馬燈轉場時間設定,網站設定>語法教學,"July 28, 2021 6:58 AM (GMT+8)",調整首頁跑馬燈（輪播圖）的轉場停留時間 (https://app.notion.com/p/31724ee0f33c800193e0eb843c41ecac?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,3558,https://www.cyberbiz.io/helpcenter/?p=3558,post,
網頁鎖右鍵功能,網站設定>語法教學,"July 28, 2021 7:16 AM (GMT+8)",設定網頁鎖右鍵保護圖文版權 (https://app.notion.com/p/31224ee0f33c806da3cbdc485a1e84cf?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,3561,https://www.cyberbiz.io/helpcenter/?p=3561,post,
