Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags
網域設定-Godaddy,網站設定>網域設定,"June 30, 2021 3:24 AM (GMT+8)",網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,295,https://www.cyberbiz.io/helpcenter/?p=295,post,
網域設定 - PChome,網站設定>網域設定,"August 28, 2019 4:10 AM (GMT+8)",網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,305,https://www.cyberbiz.io/helpcenter/?p=305,post,
網域設定 - HiNet,網站設定>網域設定,"August 2, 2022 2:35 AM (GMT+8)",網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,314,https://www.cyberbiz.io/helpcenter/?p=314,post,
網域設定 – 網路中文,網站設定>網域設定,"September 16, 2019 3:14 AM (GMT+8)",網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,550,https://www.cyberbiz.io/helpcenter/?p=550,post,
新增網站管理者及權限設定,員工帳號管理,"February 10, 2022 6:30 AM (GMT+8)",新增網站管理員並設定權限 (https://app.notion.com/p/32224ee0f33c80d48d39dfce0cb7e8ba?pvs=21),https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,1209,https://www.cyberbiz.io/helpcenter/?p=1209,post,
帳號驗證：手機驗證,訂單,"March 19, 2020 2:03 AM (GMT+8)",設定顧客 Email 與手機雙重驗證 (https://app.notion.com/p/Email-36d24ee0f33c80c3a8e6cd4ef288515b?pvs=21),https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,1865,https://www.cyberbiz.io/helpcenter/?p=1865,post,
帳號驗證：Email&手機皆必須驗證,訂單,"March 19, 2020 2:18 AM (GMT+8)",設定顧客 Email 與手機雙重驗證 (https://app.notion.com/p/Email-36d24ee0f33c80c3a8e6cd4ef288515b?pvs=21),https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,1871,https://www.cyberbiz.io/helpcenter/?p=1871,post,
續購 – 擴充服務,"PLUS版適用,系統更新優化,網站設定","May 27, 2020 6:03 AM (GMT+8)",續購與自動續約 (https://app.notion.com/p/31124ee0f33c804a95e3e86183d7fea9?pvs=21),https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,2020,https://www.cyberbiz.io/helpcenter/?p=2020,post,
網域設定-GANDI,"PLUS版適用,網站設定>網域設定","June 8, 2021 10:21 AM (GMT+8)",網域管理 (https://app.notion.com/p/31124ee0f33c8009a4e5fea061d14f80?pvs=21),https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,3201,https://www.cyberbiz.io/helpcenter/?p=3201,post,
管理中心 : 安全性設定,"員工帳號管理,網站設定","July 11, 2021 4:00 PM (GMT+8)",保護後台帳號與顧客資料 (https://app.notion.com/p/2ff24ee0f33c80e19af8ede7ba0547fa?pvs=21),https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,3214,https://www.cyberbiz.io/helpcenter/?p=3214,post,
