Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags,產品
CYBERBIZ 電商倉儲x串接流程說明,"PLUS版適用,WMS","September 29, 2022 2:13 AM (GMT+8)",申請流程與開通 (https://app.notion.com/p/32724ee0f33c809aade0eb70ea6be481?pvs=21),,branch,,Yes,5708,https://www.cyberbiz.io/helpcenter/?p=5708,post,,WMS
電商倉儲 - 串倉規則說明,"PLUS版適用,WMS","September 29, 2022 2:11 AM (GMT+8)",官網與倉儲同步規則 (https://app.notion.com/p/32724ee0f33c80868c4bc6c090393f6f?pvs=21),,branch,,Yes,5711,https://www.cyberbiz.io/helpcenter/?p=5711,post,,WMS
電商倉儲 - 現貨、限量、預購銷售,"PLUS版適用,WMS","September 29, 2022 2:12 AM (GMT+8)",現貨、限量、預購銷售 (https://app.notion.com/p/32724ee0f33c8051b61ce765f1394826?pvs=21),,branch,,Yes,5714,https://www.cyberbiz.io/helpcenter/?p=5714,post,,WMS
電商倉儲 - 組合商品（加工品）,"PLUS版適用,WMS","September 29, 2022 2:12 AM (GMT+8)","新增與設定組合商品 (https://app.notion.com/p/24f24ee0f33c800b84cae96897bb184b?pvs=21), 加工商品 (https://app.notion.com/p/32724ee0f33c806688e0f92997c469e8?pvs=21)",https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,"trunk,branch","https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Yes,Yes",5717,https://www.cyberbiz.io/helpcenter/?p=5717,post,,"EC,WMS"
電商倉儲 - 現貨、限量、預購銷售,"PLUS版適用,WMS","September 29, 2022 2:12 AM (GMT+8)",現貨、限量、預購銷售 (https://app.notion.com/p/32724ee0f33c8051b61ce765f1394826?pvs=21),,branch,,Yes,5720,https://www.cyberbiz.io/helpcenter/?p=5720,post,,WMS
電商倉儲 - 部分串倉-拆單,"PLUS版適用,WMS","September 29, 2022 2:12 AM (GMT+8)",啟用部分串倉與拆單 (https://app.notion.com/p/32124ee0f33c8089bf8fc27463cfdc1e?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Yes,5723,https://www.cyberbiz.io/helpcenter/?p=5723,post,,"EC,WMS"
電商倉儲 - 部分串倉-混單,"PLUS版適用,WMS","September 29, 2022 2:12 AM (GMT+8)",啟用部分串倉與混單 (https://app.notion.com/p/32124ee0f33c80949979d38b3438b470?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Yes,5726,https://www.cyberbiz.io/helpcenter/?p=5726,post,,"EC,WMS"
CYBERBIZ電商倉儲-商家進倉規範,"PLUS版適用,WMS","September 22, 2022 7:21 AM (GMT+8)",商家進倉規範 (https://app.notion.com/p/32524ee0f33c80009826fe0dc23c46bf?pvs=21),,branch,,Yes,5730,https://www.cyberbiz.io/helpcenter/?p=5730,post,,WMS
CYBERBIZ電商倉儲-後台操作(商品相關),"PLUS版適用,WMS","September 22, 2022 7:22 AM (GMT+8)","單一品項 (https://app.notion.com/p/32724ee0f33c80e9946fc2fbdd685274?pvs=21), 加工商品 (https://app.notion.com/p/32724ee0f33c806688e0f92997c469e8?pvs=21), 季別群組 (https://app.notion.com/p/32724ee0f33c804687fdd3a1e00a03f6?pvs=21)",,"branch,branch,branch",,"Yes,Yes,Yes",5733,https://www.cyberbiz.io/helpcenter/?p=5733,post,,"WMS,WMS,WMS"
CYBERBIZ電商倉儲-後台操作(通路),"PLUS版適用,WMS","September 22, 2022 7:26 AM (GMT+8)",通路 (https://app.notion.com/p/32524ee0f33c80be9ff6e44e17191582?pvs=21),,branch,,Yes,5735,https://www.cyberbiz.io/helpcenter/?p=5735,post,,WMS
